㔂	lân
女	lí
女	lú
女兒	lú-jî
女兒	lú-lî
奴	lôo
奴才	lôo-tsâi
奶	ne
奶喙仔	ling-tshuì-á
奶喙仔	ni-tshuì-á
奶帕仔	ling-phè-á
奶帕仔	ni-phè-á
奶母	ling-bú
奶母	ni-bú
奶母車	ling-bú-tshia
奶母車	ni-bú-tshia
奶癌	ling-gâm
奶癌	ni-gâm
奶頭	ling-thâu
奶頭	ni-thâu
奸	kan
奸巧	kan-khiáu
奸細	kan-sè
奸細	kan-suè
奸臣	kan-sîn
奸詭	kan-kuí
奸險	kan-hiám
奸雄	kan-hiông
好	hó
好代	hó-tāi
好份	hó-hūn
好佳哉	hó-ka-tsài
好價	hó-kè
好兄弟	hó-hiann-tī
好勢	hó-sè
好命	hó-miā
好唯是	hó-bî-sī
好喙	hó-tshuì
好喙斗	hó-tshuì-táu
好囝	hó-kiánn
好天	hó-thinn
好奇	hònn-kî
好好人	hó-hó-lâng
好好仔	hó-hó-á
好客	hònn-kheh
好年冬	hó-nî-tang
好彩頭	hó-tshái-thâu
好得	hó-tit
好心	hó-sim
好性地	hó-sìng-tē
好性地	hó-sìng-tuē
好意	hó-ì
好日	hó-ji̍t
好日	hó-li̍t
好款	hó-khuán
脾氣好  hó-khuán
教養好  hó-khuán
歹款    pháinn-khuán
好歹	hó-pháinn
好死	hó-sí
好死毋死	hó-sí-m̄-sí
好漢	hó-hàn
好玄	hònn-hiân
好看	hó-khuànn
好看頭	hó-khuànn-thâu
好禮	hó-lé
好空	hó-khang
好笑神	hó-tshiò-sîn
好育飼	hó-io-tshī
好膽	hó-tánn
好色	hònn-sik
好話	hó-uē
好運	hó-ūn
好酒	hó-tsiú
好量	hó-liōng
好額	hó-gia̍h
好額人	hó-gia̍h-lâng
好食睏	hó-tsia̍h-khùn
好鼻獅	hó-phīnn-sai
如	jû
如	lû
如來佛祖	Jû-lâi-pu̍t-tsóo
如來佛祖	Lû-lâi-pu̍t-tsóo
如夫人	jû-hu-jîn
如夫人	lû-hu-lîn
如此	jû-tshú
如此	lû-tshú
如此如此	jû-tshú-jû-tshú
如此如此	lû-tshú-lû-tshú
妃	hui
妓女	ki-lí
妓女	ki-lú
妖	iau
妖嬌	iau-kiau
妖孽	iau-gia̍t
妖怪	iau-kuài
妖精	iau-tsiann
妖術	iau-su̍t
妖道	iau-tō
妗	kīm
妗仔	kīm-á
妗婆	kīm-pô
妙	miāu
妝	tsng
妝娗	tsng-thānn
妥當	thò-tòng
妨害	hông-hāi
妨礙	hông-gāi
妹	muē
妹	bē
妹婿	muē-sài
妹婿	bē-sài
妻	tshe
妻舅	tshe-kū
妾	tshiap
姆	ḿ
姆仔	ḿ--á
姆婆	ḿ-pô
姊	tsé
姊仔	tsí--á
姊夫	tsí-hu
姊妹	tsí-muē
姊妹	tsí-bē
姊妹仔伴	tsí-muē-á-phuānn
姊妹仔伴	tsí-bē-á-phuānn
姐母	Tsiá-bó
姑	koo
姑丈	koo-tiūnn
姑不而將	koo-put-jî-tsiong
姑不而將	koo-put-lî-tsiong
姑姨	koo-î
姑娘	koo-niû
姑婆	koo-pô
姑情	koo-tsiânn
姑換嫂	koo-uānn-só
姑爺	koo-iâ
姑表	koo-piáu
姓	sènn
姓	sìnn
委任	uí-jīm
委任	uí-līm
委員	uí-uân
委託	uí-thok
姦	kàn
姦情	kan-tsîng
姦撟	kàn-kiāu
姨	î
姨丈	î-tiūnn
姨仔	î-á
姨婆	î-pô
姨表	î-piáu
姪仔	ti̍t-á
姻緣	in-iân
姼仔	tshit-á
姼仔詼	tshit-á-khue
姿勢	tsu-sè
姿色	tsu-sik
威嚴	ui-giâm
威脅	ui-hia̍p
威風	ui-hong
娘	niâ
娘仔	niû-á
娘仔樹	niû-á-tshiū
娘仔絲	niû-á-si
娘仔繭	niû-á-kián
娘仔葉	niû-á-hio̍h
娘囝	niû-kiánn
娘娘	niû-niû
娘嬭	niû-lé
娘𡢃	niû-kán
娶	tshuā
娶新娘	tshuā-sin-niû
娶新婦	tshuā-sin-pū
娶某	tshuā-bóo
婆	pô
婆仔	pô-á
婆姐	Pô-tsiá
姐母    Tsiá-bó
婊囝	piáu-kiánn
婊間	piáu-king
婊頭	piáu-thâu
婚	hun
婚禮	hun-lé
婚約	hun-iok
婦	hū
婦人人	hū-jîn-lâng
婦人人	hū-lîn-lâng
婦女	hū-lí
婦女	hū-lú
媌	bâ
媌仔	bâ-á
媒人	muê-lâng
媒人	hm̂-lâng
媒人公	muê-lâng-kong
媒人公	hm̂-lâng-kong
媒人喙	muê-lâng-tshuì
媒人喙	hm̂-lâng-tshuì
媒人婆	muê-lâng-pô
媒人婆	hm̂-lâng-pô
媒人禮	muê-lâng-lé
媒人禮	hm̂-lâng-lé
媠	suí
媠噹噹	suí-tang-tang
媠氣	suí-khuì
媠色	suí-sik
媠面	suí-bīn
媽	má
媽媽	má-mah
媽祖	Má-tsóo
媽祖婆	Má-tsóo-pô
嫁	kè
嫁娶	kè-tshuā
嫁查某囝	kè tsa-bóo-kiánn
嫁粧	kè-tsng
嫁翁	kè-ang
嫂	só
嫌	hiâm
嫌疑	hiâm-gî
嫖客	phiâu-kheh
嫣	ian
嫦娥	Siông-ngôo
嬈	hiâu
嬈花	hiâu-hue
嬌	kiau
嬰仔	enn-á
嬰仔	inn--á
嬰母仔	ìnn-bó-á
嬸	tsím
嬸婆	tsím-pô
子	tsí
子宮	tsú-kiong
子弟	tsú-tē
子弟戲	tsú-tē-hì
子時	tsú-sî
孔子公	Khóng-tsú-kong
孔明車	khóng-bîng-tshia
孔雀	khóng-tshiok
字	jī
字	lī
字典	jī-tián
字典	lī-tián
字劃	jī-ue̍h
字劃	lī-ue̍h
字勻	jī-ûn
字勻	lī-ûn
字姓	jī-sènn
字姓	lī-sìnn
字據	jī-kì
字據	lī-kù
字母	jī-bú
字母	lī-bú
字爿	jī-pîng
字爿	lī-pîng
字眼	jī-gán
字眼	lī-gán
字紙	jī-tsuá
字紙	lī-tsuá
字紙籠	jī-tsuá-láng
字紙籠	lī-tsuá-láng
字號	jī-hō
字號	lī-hō
字運	jī-ūn
字運	lī-ūn
存	tsûn
存在	tsûn-tsāi
存後步	tshûn-āu-pōo
存心	tsûn-sim
存款	tsûn-khuán
存死	tshûn-sí
存範	tshûn-pān
存貨	tsûn-huè
存貨	tsûn-hè
孝	hàu
孝呆	hàu-tai
孝女	hàu-lí
孝女	hàu-lú
孝子	hàu-tsú
孝孤	hàu-koo
孝尾囝	hà-bué-kiánn
孝尾囝	hà-bé-kiánn
孝心	hàu-sim
孝敬	hàu-kìng
孝杖	hà-thn̄g
孝男	hàu-lâm
孝男面	hàu-lâm-bīn
孝衫	hà-sann
季	kuì
季節	kuì-tseh
季節	kuì-tsueh
孤	koo
孤佬	koo-láu
孤兒	koo-jî
孤兒	koo-lî
孤單	koo-tuann
孤囝	koo-kiánn
孤查某囝	koo-tsa-bóo-kiánn
孤毛絕種	koo-môo-tse̍h-tsíng
孤獨	koo-ta̍k
孤跤手	koo-kha-tshiú
孤鳥	koo-tsiáu
孤𣮈	koo-khu̍t
孤𣮈絕種	koo-khu̍t-tse̍h-tsíng
孩	hâi
孫	sun
孫仔	sun-á
孫婿	sun-sài
孵	pū
孵卵	pū-nn̄g
孵岫	pū-siū
孵膿	pū-lâng
學	ha̍k
學人	o̍h--lâng
學仔	o̍h-á
學仔仙	o̍h-á-sian
學位	ha̍k-uī
專士    tsuan-sū
學士    ha̍k-sū
碩士    si̍k sū
博士    phok-sū
學力	ha̍k-li̍k
學問	ha̍k-būn
學堂	o̍h-tn̂g
學士	ha̍k-sū
學寮	ha̍k-liâu
學工夫	o̍h kang-hu
學期	ha̍k-kî
學校	ha̍k-hāu
學業	ha̍k-gia̍p
學理	ha̍k-lí
學生	ha̍k-sing
學習	ha̍k-si̍p
學術	ha̍k-su̍t
學話	o̍h-uē
學費	ha̍k-huì
孽子	gia̍t-tsú
孽潲	gia̍t-siâu
孽譎仔話	gia̍t-khiat-á-uē
宅	the̍h
守	tsiú
守寡	tsiú-kuá
守暝	tsiú-mê
守暝	tsiú-mî
守空房	tsiú khang-pâng
守節	siú-tsiat
安	an
安份	an-hūn
安土	an-thóo
安太歲	an Thài-suè
安宅	an-the̍h
宅跤嶼  the̍h-kha-sū
安家	an-ka
安寧	an-lîng
安床	an-tshn̂g
安心	an-sim
安慰	an-uì
安排	an-pâi
安插	an-tshah
安搭	an-tah
安眠	an-bîn
安穩	an-ún
安胎	an-thai
安葬	an-tsòng
安身	an-sin
安靈	an-lîng
安靜	an-tsīng
安養	an-ióng
宋	Sòng
宋江陣	Sòng-kang-tīn
宋盼的	sòng-phàn--ê
宋米仔	sòng-bí-á
完	uân
完全	uân-tsuân
完婚	uân-hun
完工	uân-kang
完成	uân-sîng
完結	uân-kiat
完結篇	uân-kiat-phinn
宕	thōng
宗教	tsong-kàu
宗旨	tsong-tsí
宗祠	tsong-sû
祖厝    tsóo-tshù
宗親	tsong-tshin
官	kuan
官僚	kuann-liâu
官司	kuann-si
官員	kuann-uân
官場	kuann-tiûnn
官廳	kuann-thiann
官職	kuann-tsit
官話	kuann-uē
定	tiānn
定做	tiānn-tsò
定做	tiānn-tsuè
定價	tīng-kè
定去	tiānn--khì
定定	tiānn-tiānn
定性	tīng-sìng
定期	tīng-kî
定案	tīng-àn
定罪	tīng-tsuē
定著	tiānn-tio̍h
定親	tīng-tshin
定貨	tiānn-huè
定貨	tiānn-hè
定金	tiānn-kim
定銀	tiānn-gîn
定銀	tiānn-gûn
宛然	uán-jiân
宛然	uán-liân
客	kheh
客人	Kheh-lâng
客廳	kheh-thiann
客戶	kheh-hōo
客棧	lí-kuán
旅館    lí-kuán
旅舍    lí-kuán
客氣	kheh-khì
客滿	kheh-buán
客話	Kheh-uē
客運	kheh-ūn
客鳥	kheh-tsiáu
宣佈	suan-pòo
宣傳	suan-thuân
宣戰	suan-tsiàn
宣言	suan-giân
室	sik
宮	king
宮女	kiong-lí
宮女	kiong-lú
宮廟	king-biō
害	hāi
害了了	hāi-liáu-liáu
害去	hāi--khì
害蟲	hāi-thâng
宴會	iàn-huē
宵夜	siau-iā
家	ka
家事	ka-sū
家伙	ke-hué
家伙	ke-hé
家婆	ke-pô
家己	ka-kī
家己人	ka-kī-lâng
家後	ke-āu
家教	ka-kàu
家甲	ke-kah
家私	ke-si
家譜	ka-phóo
家長	ka-tiúnn
家門	ka-mn̂g
容	iông
容允	iông-ín
容允	iông-ún
容貌	iông-māu
宿怨	siok-uàn
宿題	siok-tê
宿題	siok-tuê
寂寞	tsi̍k-bo̍k
寄	kià
寄付	kià-hù
寄批	kià-phue
寄生仔	kià-senn-á
寄生仔	kià-sinn-á
寄生蟲	kià-senn-thâng
寄生蟲	kià-sinn-thâng
寄罪	kià-tsuē
寄藥包	kià-io̍h-pau
寄託	kià-thok
寄話	kià-uē
寄跤	kià-kha
寄金簿仔	kià-kim-phōo-á
寅	în
密	ba̍t
密告	bi̍t-kò
密喌喌	ba̍t-tsiuh-tsiuh
密婆	bi̍t-pô
密密	ba̍t-ba̍t
密密是	ba̍t-ba̍t-sī
密實	ba̍t-tsa̍t
富	pù
富強	hù-kiông
富戶	hù-hōo
富裕	hù-jū
富裕	hù-lū
富貴	hù-kuì
寒	kuânn
寒人	kuânn--lâng
寒天	kuânn-thinn
寒流	hân-liû
寒熱	kuânn-jua̍h
寒熱	kuânn-lua̍h
寒熱仔	kuânn-jia̍t-á
寒熱仔	kuânn-lia̍t-á
寒著	kuânn--tio̍h
寒衫	kuânn-sann
寒酸	hân-suan
寡	kuá
寡婦	kuá-hū
寢	tshím
寢室	tshím-sik
寢頭	tshím-thâu
實	tsa̍t
實䈄	tsa̍t-ham
實價	si̍t-kè
實力	si̍t-li̍k
實在	si̍t-tsāi
實地	si̍t-tē
實地	si̍t-tuē
實情	si̍t-tsîng
實施	si̍t-si
實櫼	tsa̍t-tsinn
實現	si̍t-hiān
實習	si̍t-si̍p
實腹	tsa̍t-pak
實行	si̍t-hîng
實話	si̍t-uē
實踐	si̍t-tsiān
實際	si̍t-tsè
實頭	tsa̍t-thâu
實驗	si̍t-giām
實鼻	tsa̍t-phīnn
寧可	lîng-khó
寨	tsē
審	sím
審判	sím-phuànn
審問	sím-mn̄g
審查	sím-tsa
寫	siá
寫字	siá-jī
寫字	siá-lī
寬寬仔	khuann-khuann-á
寬寬仔是	khuann-khuann-á-sī
寬限	khuan-hān
寮	liâu
寮仔	liâu-á
寵倖	thíng-sīng
寶	pó
寶劍	pó-kiàm
寶惜	pó-sioh
寶貝	pó-puè
寶貴	pó-kuì
寸	tshùn
寸尺	tshùn-tshioh
寸棗	tshùn-tsó
冬瓜糖  tang-kue-thn̂g
生仁    sing-jîn
糕仔    ko-á
寺	sī
封	hong
封喙	hong-tshuì
封條	hong-tiâu
封肉	hong-bah
封釘	hong-ting
封頭壁	hong-thâu-piah
山牆    suann-tshiûnn
角間    kak-king
射	siā
射箭	siā-tsìnn
將	tsiong
將來	tsiong-lâi
將才	tsiòng-tsâi
將軍	tsiong-kun
將近	tsiong-kīn
將近	tsiong-kūn
專	tsuan
專工	tsuan-kang
專心	tsuan-sim
專權	tsuan-khuân
專門	tsuan-bûn
尊	tsun
尊嚴	tsun-giâm
尊存	tsun-tshûn
尊敬	tsun-kìng
尊稱	tsun-tshing
尊貴	tsun-kuì
尊重	tsun-tiōng
尊長	tsun-tióng
尋	siâm
對	tuì
對不住	tuì-put-tsū
對分	tuì-pun
對半	tuì-puànn
對反	tuì-huán
對同	tuì-tâng
對喙	tuì-tshuì
對年	tuì-nî
對待	tuì-thāi
對手	tuì-tshiú
對抗	tuì-khòng
對拄	tuì-tú
對拗	tuì-áu
對指	tuì-tsí
對換	tuì-uānn
對數	tuì-siàu
對時	tuì-sî
對沖	tuì-tshiong
對照	tuì-tsiàu
對相	tuì-siòng
對看	tuì-khuànn
對立	tuì-li̍p
對答	tuì-tap
對策	tuì-tshik
對襟仔	tuì-khim-á
對襟仔衫	tuì-khim-á-sann
對調	tuì-tiàu
對象	tuì-siōng
對重	tuì-tiōng
對面	tuì-bīn
對頭	tuì-thâu
對頭親	tuì-thâu-tshin
對頭誤	tuì-thâu-gōo
對頭風	tuì-thâu-hong
小	siáu
小丑仔	siáu-thiú-á
小事	sió-sū
小人	siáu-jîn
小人	siáu-lîn
小使	siáu-sú
小兒科	sió-jî-kho
小兒科	sió-lî-kho
小兒麻痺	sió-jî-bâ-pì
小兒麻痺	sió-lî-bâ-pì
小叔	sió-tsik
小口	sió-kháu
小可仔	sió-khuá-á
小名	sió-miâ
小囝	sió-kiánn
小妹	sió-muē
小妹	sió-bē
小姐	sió-tsiá
小姑	sió-koo
小嬸	sió-tsím
小學	sió-ha̍k
小工	sió-kang
小弟	sió-tī
小心	sió-sim
小數	sió-sòo
小旦	sió-tuànn
小月	sió-gue̍h
小月	sió-ge̍h
小木	sió-ba̍k
大木    tuā-ba̍k
小玉仔	sió-gio̍k-á
小生	sió-sing
小白菜	sió-pe̍h-tshài
小票	sió-phiò
小等	sió-tán
小管仔	sió-kńg-á
小肚	sió-tōo
小腸	sió-tn̂g
小說	sió-suat
小賣	sió-bē
零售商    sió-bē
大賣    tuā-bē
批發商    tuā-bē
小路	sió-lōo
小銀	sió-gîn
小銀	sió-gûn
小食	sió-tsia̍h
小鬼仔殼	siáu-kuí-á-khak
少	tsió
少女	siàu-lí
少女	siàu-lú
少年	siàu-liân
少年人	siàu-liân-lâng
少年家	siàu-liân-ke
少數	tsió-sòo
少歲	tsió-huè
少歲	tsió-hè
少爺	siàu-iâ
少缺	tsió-khueh
少缺	tsió-kheh
尖	tsiam
尖喙夾仔	tsiam-tshuì-ngeh-á
尖喙掘仔	tsiam-tshuì-ku̍t-á
尖跤幼手	tsiam-kha-iù-tshiú
尖鑽	tsiam-tsǹg
尪	ang
尪仔	ang-á
尪仔冊	ang-á-tsheh
尪仔標	ang-á-phiau
尪仔物	ang-á-mi̍h
尪仔物	ang-á-mn̍gh
尪仔面	ang-á-bīn
尪仔頭	ang-á-thâu
尪姨	ang-î
尪架桌	ang-kè-toh
就	tsiū
就按呢	tsiū-án-ne
就是	tō sī
就近	tsiū-kīn
就近	tsiū-kūn
尺	tshioh
尻川	kha-tshng
尻川䫌	kha-tshng-phué
尻川口	kha-tshng-kháu
尻川後	kha-tshng-āu
尻川斗	kha-tshng-táu
尻川溝	kha-tshng-kau
尻川骨	kha-tshng-kut
尻脊	kha-tsiah
尻脊後	kha-tsiah-āu
尻脊骿	kha-tsiah-phiann
尼姑	nî-koo
尼姑	lî-koo
尼姑庵	nî-koo-am
尼姑庵	lî-koo-am
尾	bué
尾	bé
尾二指	bué-jī-tsáinn
尾二指	bé-lī-tsáinn
尾仔	bué-á
尾仔	bé-á
尾仔囝	bué-á-kiánn
尾仔囝	bé-á-kiánn
尾來	bué--lâi
尾來	bé--lâi
尾幫車	bué-pang-tshia
尾幫車	bé-pang-tshia
尾後	bué-āu
尾後	bé-āu
尾手	bué-tshiú
尾手	bé-tshiú
尾指	bué-tsáinn
尾指	bé-tsáinn
尾溜	bué-liu
尾溜	bé-liu
尾牙	bué-gê
尾牙	bé-gê
尾聲	bué-siann
尾聲	bé-siann
尾胴骨	bué-tâng-kut
尾胴骨	bé-tâng-kut
尾脽	bué-tsui
尾脽	bé-tsui
尾蝶	bué-ia̍h
尾蝶	bé-ia̍h
尿	jiō
尿	liō
尿壺	jiō-ôo
尿壺	liō-ôo
尿帕仔	jiō-phè-á
尿帕仔	liō-phè-á
尿斗	jiō-táu
尿斗	liō-táu
尿桶	jiō-tháng
尿桶	liō-tháng
尿桸	jiō-hia
尿桸	liō-hia
尿滓	jiō-tái
尿滓	liō-tái
尿苴仔	jiō-tsū-á
尿苴仔	liō-tsū-á
尿苴仔𩛩	jiō-tsū-á-kauh
尿苴仔𩛩	liō-tsū-á-kauh
尿道	jiō-tō
尿道	liō-tō
局	kio̍k
局勢	kio̍k-sè
局面	kio̍k-bīn
屁	phuì
屁窒仔	phuì-that-á
屆	kài
屈	khut
屍	si
屎	sái
屎尾	sái-bué
屎尾	sái-bé
屎尿	sái-jiō
屎尿	sái-liō
屎桮齒	sái-pue-khí
屎桶	sái-tháng
屎礐仔	sái-ha̍k-á
屎礐仔蟲	sái-ha̍k-á-thâng
屎面	sái-bīn
屑	sut
展	tián
展威	tián-ui
展寶	tián-pó
展翼	thián-si̍t
展覽	tián-lám
展開	thián-khui
展風神	tián-hong-sîn
屘	ban
屘仔	ban-á
屘囝	ban-kiánn
屜	thuah
屜仔	thuah-á
層	tsàn
屧	siap
屧手縫	siap-tshiú-phāng
屧貼	siap-thiap
山	san
山伯英台	San-phik-Ing-tâi
山內	suann-lāi
山勢	suann-sè
山坪	suann-phiânn
山尾溜	suann-bué-liu
山尾溜	suann-bé-liu
山崁	suann-khàm
山崎	suann-kiā
山崙	suann-lūn
山嶺	suann-niá
山後鳥	suann-āu-tsiáu
山東白仔	suann-tang-pe̍h-á
山洞	suann-tōng
山溝	suann-kau
山珍海味	san-tin-hái-bī
山球	suann-kiû
山盟海誓	san-bîng-hái-sè
山空	suann-khang
山線	suann-suànn
山腰	suann-io
山腹	suann-pak
山苳蒿	suann-tang-o
山谷	suann-kok
山豬	suann-ti
山豬	suann-tu
山貉	suann-hô
山貓	suann-niau
山賊	suann-tsha̍t
山跤	suann-kha
山雺	suann-bông
山頂	suann-tíng
山頭	suann-thâu
岫	siū
岸	huānn
峇	bā
峇微	bâ-bui
島	tó
島	tóo
崁	khàm
崁蓋	khàm-kuà
崁跤	khàm-kha
崁頂	khàm-tíng
崁頭崁面	khàm-thâu-khàm-bīn
崇拜	tsông-pài
崎	kiā
崎仔	kiā-á
崙仔	lūn-á
崩	pang
崩山	pang-suann
嶺	niá
川七	tshuan-tshit
川芎	tshuan-kiong
川貝	tshuan-puè
州	tsiu
巡	sûn
巡查	sûn-tsa
巡視	sûn-sī
工	kang
工事	kang-sū
工人	kang-lâng
工仔	kang-á
工作	kang-tsok
工場	kang-tiûnn
工夫	kang-hu
工寮	kang-liâu
工廠	kang-tshiúnn
工會	kang-huē
工業	kang-gia̍p
工程	kang-tîng
工程師	kang-tîng-su
工藝	kang-gē
工課	khang-khuè
工頭	kang-thâu
左右	tsó-iū
巧	khá
巧神	khiáu-sîn
差	tsua̍h
差不多	tsha-put-to
差教	tshe-kà
差錯	tsha-tshò
差額	tsha-gia̍h
己	kí
巳	tsī
巴結	pa-kiat
巴郎	pa-lang
巷	hāng
巷仔	hāng-á
巷仔內的	hāng-á-lāi-ê
行仔內  hâng-á-lāi
巷仔口	hāng-á-kháu
巾	kin
巾	kun
巾仔	kin-á
巾仔	kun-á
市	tshī
市價	tshī-kè
市內	tshī-lāi
市場	tshī-tiûnn
市容	tshī-iông
市民	tshī-bîn
市草	tshī-tsháu
市長	tshī-tiúnn
布	pòo
布市仔	pòo-tshī-á
布幼仔	pòo-iù-á
布攄仔	pòo-lu-á
布料	pòo-liāu
布景	pòo-kíng
布棚	pòo-pênn
布棚	pòo-pînn
布機	pòo-kui
布目	pòo-ba̍k
布篷	pòo-phâng
布袋	pòo-tē
布袋戲	pòo-tē-hì
布身	pòo-sin
布鞋	pòo-ê
布鞋	pòo-uê
布頭	pòo-thâu
布頭布尾	pòo-thâu-pòo-bué
布頭布尾	pòo-thâu-pòo-bé
帆	phâng
帆布	phâng-pòo
帆船	phâng-tsûn
希望	hi-bāng
帕	phè
帕仔	phè-á
帖	thiap
帖仔	thiap-á
帝	tè
師	sai
師仔	sai-á
師仔工	sai-á-kang
師傅	sai-hū
師兄	su-hiann
師姑	su-koo
師母	su-bió
師父	su-hū
師範的	su-huān--ê
師資	su-tsu
席	si̍k
帶	tài
帶孝	tuà-hà
帶念	tài-liām
帶手	tuà-tshiú
帶桃花	tài-thô-hue
帶病	tài-pēnn
帶病	tài-pīnn
帶膭	tuà-kuī
帶衰	tài-sue
帶身人	tài-sin-lâng
帶身命	tài-sin-miā
帶領	tuà-niá
常在	tshiâng-tsāi
常常	siông-siông
帽	bō
帽仔	bō-á
幅	pak
幌	hàinn
幌韆鞦	hàinn-tshian-tshiu
幌頭	hàinn-thâu
幌頭仔	hàinn-thâu-á
幔	mua
幕	bōo
幡	huan
幡仔	huan-á
幢幡	tông-huan
幫	pang
幫助	pang-tsōo
幫忙	pang-bâng
幫贊	pang-tsān
干	kan
干休	kan-hiu
干干仔	kan-kan-á
干樂	kan-lo̍k
干涉	kan-sia̍p
干焦	kan-na
干貝	kan-puè
平	pênn
平	pînn
平仄	piânn-tseh
平分	pênn-pun
平分	pînn-pun
平地	pênn-tē
平地	pînn-tuē
平均	pîng-kin
平均	pîng-kun
平埔	pênn-poo
平埔	pînn-poo
平埔番	Pênn-poo-huan
平埔番	Pînn-poo-huan
平安	pîng-an
平常	pîng-siông
平常時	pîng-siông-sî
平平	pênn-pênn
平平	pînn-pînn
平洋	pênn-iûnn
平洋	pînn-iûnn
平等	pîng-tíng
平階	pênn-kai
平階	pînn-kai
平靜	pîng-tsīng
平順	pîng-sūn
年	liân
年久月深	nî-kú-gue̍h-tshim
年久月深	nî-kú-ge̍h-tshim
年兜	nî-tau
年冬	nî-tang
年尾	nî-bué
年尾	nî-bé
年尾囡仔	nî-bué gín-á
年尾囡仔	nî-bé gín-á
年底	nî-té
年底	nî-tué
年度	nî-tōo
年歲	nî-huè
年歲	nî-hè
年節	nî-tseh
年節	nî-tsueh
年紀	nî-kí
年關	nî-kuan
年限	nî-hān
年頭	nî-thâu
幸	hīng
幸福	hīng-hok
幸運	hīng-ūn
幹	kàn
幹事	kàn-sū
幼	iù
幼囝	iù-kiánn
幼秀	iù-siù
幼稚園	iù-tī-hn̂g
幼聲	iù-siann
幼貨	iù-huè
幼貨	iù-hè
幼路	iù-lōo
幼骨	iù-kut
幼麵麵	iù-mī-mī
幼齒	iù-khí
幽幽仔疼	iu-iu-á-thiànn
幽雅	iu-ngá
幾	kuí
幾工	kuí kang
幾若	kuí-nā
幾若工	kuí-nā kang
庄	tsng
庄跤	tsng-kha
庄頭	tsng-thâu
庇佑	pì-iū
床	tshn̂g
床巾	tshn̂g-kin
床巾	tshn̂g-kun
床母	Tshn̂g-bú
序	sū
序大	sī-tuā
序大人	sī-tuā-lâng
序細	sī-sè
序細	sī-suè
底	té
底	tué
底代	tī-tāi
底時	tī-sî
底片	té-phìnn
底片	tué-phìnn
底當時	tī-tang-sî
底系	té-hē
底系	tué-hē
底細	té-sè
底細	tué-suè
底蒂	té-tì
底蒂	tué-tì
店	tiàm
店主	tiàm-tsú
店仔	tiàm-á
店員	tiàm-uân
店號	tiàm-hō
店面	tiàm-bīn
店頭	tiàm-thâu
店頭家	tiàm-thâu-ke
庚	kenn
庚	kinn
府	hú
府城	Hú-siânn
度	tōo
度小月	tōo-sió-gue̍h
度小月	tōo-sió-ge̍h
度晬	tōo-tsè
度量	tōo-liōng
度針	tōo-tsiam
座	tsō
庫	khòo
庫房	khòo-pâng
庫銀	khòo-gîn
庫銀	khòo-gûn
庫錢	khòo-tsînn
康健	khong-kiān
廍	phōo
廕	ìm
廚子	tôo-tsí
廚房	tû-pâng
廟	biō
廟仔	biō-á
廟公	biō-kong
廟埕	biō-tiânn
廟寺	biō-sī
廠	tshiúnn
廢	huì
廢止	huì-tsí
廢物	huì-bu̍t
廢話	huì-uē
廣	kóng
廣告	kóng-kò
廣播劇	kóng-pòo-kio̍k
廳	thiann
廳堂	thiann-tn̂g
廳頭	thiann-thâu
延	tshiân
延延	iân-tshiân
延遲	iân-tî
建材行	kiàn-tsâi-hâng
建立	kiàn-li̍p
建築	kiàn-tio̍k
建置	kiàn-tì
建設	kiàn-siat
建議	kiàn-gī
廿	jia̍p
廿	lia̍p
廿一	jia̍p-it
廿一	lia̍p-it
弄	lāng
弄喙花	lāng-tshuì-hue
弄新娘	lāng-sin-niû
弄狗相咬	lōng-káu-sio-kā
弄獅	lāng-sai
弄鐃	lāng-lâu
弄風	lāng-hong
弄龍	lāng-lîng
弓	king
弓仔	king-á
弓蕉	king-tsio
弓蕉油	king-tsio-iû
弓開	king--khui
引	ín
引渡	ín-tōo
引誘	ín-iú
引起	ín-khí
引魂	ín-hûn
引𤆬	ín-tshuā
弟	tē
弟婦仔	tē-hū-á
弟子	tē-tsú
弱	jio̍k
弱	lio̍k
張	tiunn
張持	tiunn-tî
張掇	tiunn-tuah
張等	tng-tán
張老	tiunn-lāu
張身勢	tiunn-sin-sè
張鳥鼠	tng niáu-tshí
張鳥鼠	tng niáu-tshú
強	kiông
強制	kiông-tsè
強壯	kiông-tsòng
強強	kiōng-kiōng
強押	kiông ah
強搶	kiông-tshiúnn
強摃	kiông-kòng
強欲	kiōng-beh
強欲	kiōng-bueh
強盜	kiông-tō
強硬	kiông-ngē
強硬	kiông-ngī
強辯	kiông-piān
彈	tuânn
彈琴	tuânn-khîm
彌補	mí-póo
彎	uan
彎來斡去	uan-lâi-uat-khì
彎彎斡斡	uan-uan-uat-uat
彎曲	uan-khiau
形	hîng
形勢	hîng-sè
形容	hîng-iông
形式	hîng-sik
形影	hîng-iánn
形狀	hîng-tsōng
彩色	tshái-sik
彩頭	tshái-thâu
影	iánn
影印	iánn-ìn
影戲	iánn-hì
影片	iánn-phìnn
影目	iánn-ba̍k
影跡	iánn-tsiah
影響	íng-hióng
彼	he
彼一日	hit-tsi̍t-ji̍t
彼一日	hit-tsi̍t-li̍t
彼个	hit ê
彼搭	hit-tah
彼擺	hit pái
彼時	hit-sî
彼款	hit khuán
彼爿	hit pîng
彼當陣	hiàng-tsūn
那時    hiàng-tsūn
那陣子  hiàng-tsūn
向陣    hiàng-tsūn
彼站	hit-tsām
彼號	hit-lō
